Regent,Price
2010/11/8,252.44
2010/11/9,250.35
2010/11/10,248.52
2010/11/11,252.18
2010/11/12,254.01
2010/11/15,248.78
2010/11/16,244.34
2010/11/17,240.94
2010/11/18,241.47
2010/11/19,247.74
2010/11/22,249.05
2010/11/23,244.6
2010/11/24,242.25
2010/11/25,255.06
2010/11/26,252.44
2010/11/29,264.99
2010/11/30,264.99
2010/12/1,266.55
2010/12/2,264.46
2010/12/3,261.85
2010/12/6,261.85
2010/12/7,259.76
2010/12/8,264.46
2010/12/9,261.85
2010/12/10,259.5
2010/12/13,261.85
2010/12/14,260.02
2010/12/15,260.28
2010/12/16,263.42
2010/12/17,279.1
2010/12/20,276.49
2010/12/21,275.96
2010/12/22,274.39
2010/12/23,271.26
2010/12/24,272.3
2010/12/27,272.83
2010/12/28,266.55
2010/12/29,270.21
2010/12/30,267.08
2010/12/31,269.69
2011/1/3,281.71
2011/1/4,269.69
2011/1/5,262.9
2011/1/6,264.99
2011/1/7,256.62
2011/1/10,250.61
2011/1/11,253.23
2011/1/12,251.4
2011/1/13,250.87
2011/1/14,253.23
2011/1/17,250.87
2011/1/18,250.09
2011/1/19,252.18
2011/1/20,250.87
2011/1/21,252.44
2011/1/24,249.83
2011/1/25,250.35
2011/1/26,259.24
2011/1/27,265.51
2011/1/28,263.94
2011/2/8,264.46
2011/2/9,258.98
2011/2/10,259.24
2011/2/11,256.1
2011/2/14,256.36
2011/2/15,254.53
2011/2/16,257.93
2011/2/17,254.27
2011/2/18,256.62
2011/2/21,265.51
2011/2/22,264.46
2011/2/23,262.9
2011/2/24,261.33
2011/2/25,257.15
2011/3/1,256.62
2011/3/2,256.62
2011/3/3,257.93
2011/3/4,257.15
2011/3/7,255.06
2011/3/8,257.41
2011/3/9,258.71
2011/3/10,260.28
2011/3/11,263.42
2011/3/14,245.13
2011/3/15,228.14
2011/3/16,217.69
2011/3/17,219.25
2011/3/18,234.41
2011/3/21,246.17
2011/3/22,250.35
2011/3/23,246.69
2011/3/24,251.14
2011/3/25,249.31
2011/3/28,252.18
2011/3/29,255.06
2011/3/30,252.18
2011/3/31,261.85
2011/4/1,260.81
2011/4/6,258.45
2011/4/7,261.33
2011/4/8,263.42
2011/4/11,257.93
2011/4/12,261.85
2011/4/13,263.94
2011/4/14,267.08
2011/4/15,268.65
2011/4/18,272.83
2011/4/19,271.26
2011/4/20,277.01
2011/4/21,277.01
2011/4/22,277.01
2011/4/25,275.44
2011/4/26,272.83
2011/4/27,272.83
2011/4/28,276.49
2011/4/29,278.58
2011/5/3,267.6
2011/5/4,271.26
2011/5/5,279.62
2011/5/6,279.1
2011/5/9,280.67
2011/5/10,277.53
2011/5/11,279.1
2011/5/12,279.1
2011/5/13,279.1
2011/5/16,277.01
2011/5/17,273.35
2011/5/18,272.83
2011/5/19,284.32
2011/5/20,277.53
2011/5/23,277.01
2011/5/24,277.53
2011/5/25,277.53
2011/5/26,293.73
2011/5/27,291.64
2011/5/30,297.39
