"StopUID","StopID","StopName.Zh_tw","StopName.En","StopPosition.PositionLat","StopPosition.PositionLon"
"THB-VO14-1280710","280710","板橋轉運站","Banqiao Bus Station","25.01527","121.46498"
"THB-VO14-1269166","269166","正隆廣場","Zhenglong Plaza","25.01254","121.47563"
"THB-VO14-1269396","269396","中和站","Zhonghe Station","24.998971","121.484976"
"THB-VO14-1270200","270200","新竹站","Xinzhu Station","24.78959","121.00407"
"THB-VO14-1297502","297502","清大站","National Tsing Hua University Station","24.79532","120.99879"
"THB-VO14-1300437","300437","新竹轉運站","Hsinchu bus station","24.80097","120.97233"
"THB-VO14-1269609","269609","牛埔站","Niupu Station","24.7994655276198","120.950875383617"
"THB-VO14-1245831","245831","香山轉運站","Xiangshan Bus Station","24.75611","120.95331"
"THB-VO14-1297503","297503","清大","National Tsing Hua University Station","24.796294","120.997453"
"THB-VO14-1270238","270238","憲兵隊站","Military Team","25.0135","121.47549"
"THB-VO14-1289797","289797","臺北轉運站","Taipei Bus Station","25.04887","121.51761"
"THB-VO14-1270615","270615","新莊站","Xinzhuang Station","25.06153","121.4651"
"THB-VO14-1270356","270356","林口站","Linkou Station","25.058764","121.366662"
"THB-VO14-1270268","270268","桃園站","Taoyuan Station","25.03518","121.30029"
"THB-VO14-1270425","270425","朝馬轉運站","Chaoma Bus Station","24.16999","120.63876"
"THB-VO14-1269487","269487","斗南站","Dounan Station","23.693178","120.47693"
"THB-VO14-1270706","270706","大林站","Dalin Station","23.612044","120.439598"
"THB-VO14-1270503","270503","嘉義北站","Chiayi North Station","23.492678","120.395834"
"THB-VO14-1293217","293217","嘉義站","Chiayi Station","23.480134","120.439907"
"THB-VO14-1269034","269034","五股站","Wugu Station","25.06384","121.43882"
"THB-VO14-1271024","271024","新北大道路口","xin bei da dao Intersection","25.06139","121.46544"
"THB-VO14-1269447","269447","中華路口","Zhonghua Road Intersection","25.06126","121.482993"
"THB-VO14-1270937","270937","岡山站","Gangshan Station","22.78865","120.32301"
"THB-VO14-1270445","270445","楠梓站","Nanzi Station","22.72621","120.33408"
"THB-VO14-1269334","269334","九如站","Jiuru Station","22.63841","120.33311"
"THB-VO14-1269518","269518","民族站","Minzu Station","22.64026","120.31709"
"THB-VO14-1289751","289751","高雄總站","Kaohsiung Bus Terminal","22.637801","120.303093"
"THB-VO14-2190146","190146","德蕾莎","Deleisha","23.46572","121.48957"
"THB-VO14-2191006","191006","靜埔國小","Jingpu Elementary School","23.46317","121.49549"
"THB-VO14-2191007","191007","靜埔B","Jingpu(B)","23.46214","121.4978"
"THB-VO14-2189664","189664","靜埔A","Jingpu(A)","23.45978","121.49883"
"THB-VO14-2191009","191009","靜埔村","Jingpu Village","23.4582700025896","121.497889953971"
"THB-VO14-2189666","189666","三富橋","Sanfu Bridge","23.44527","121.49584"
"THB-VO14-2276519","276519","千禧山莊","Qianxi Village","23.44267","121.4956"
"THB-VO14-2189668","189668","大峰村","Dafeng Village","23.43324","121.49146"
"THB-VO14-2238730","238730","南大峰村","Nandafeng Village","23.43011","121.49039"
"THB-VO14-2191016","191016","北樟原","Beizhangyuan","23.4203","121.48528"
"THB-VO14-2189671","189671","樟原社區","Zhangyuan Community","23.41698","121.48375"
"THB-VO14-2238739","238739","南樟原","Nanzhangyuan","23.41518","121.4832"
"THB-VO14-2189673","189673","樟原","Zhangyuan","23.41361","121.48288"
"THB-VO14-2189674","189674","樟原村","Zhangyuan Village","23.40965","121.48209"
"THB-VO14-2189675","189675","淨水廠","Purification Plant","23.40342","121.48091"
"THB-VO14-2189676","189676","樟原橋","Zhangyuan Bridge","23.39913","121.47916"
"THB-VO14-2189677","189677","仙洞","Xiandong","23.39703","121.47757"
"THB-VO14-2189795","189795","仙洞入口","Xiandong Entrance","23.39384","121.47593"
"THB-VO14-2238982","238982","南仙洞","Nanxiandong","23.39211","121.47574"
"THB-VO14-2189680","189680","大俱來教會","Dajulai Church","23.381660002717","121.472239954097"
"THB-VO14-2190602","190602","大俱來","Dajulai","23.3796853162039","121.471586213742"
"THB-VO14-2189682","189682","南大俱來","Nandajulai","23.3763","121.47083"
"THB-VO14-2238983","238983","大霸來橋","Dabalai Bridge","23.3686200027505","121.470809954067"
"THB-VO14-2189801","189801","北三間屋橋","Beisanjianwu Bridge","23.36157","121.4706"
"THB-VO14-2189685","189685","三間屋","Sanjianwu","23.357901","121.469602"
"THB-VO14-2189686","189686","三間","Sanjian","23.35567","121.46911"
